Id,Label,isDisclaimer,Amount Spent
188,Priorities USA Action and SMP. (202) 455-8428. (202) 871-9255. Not authorized by any candidate or candidate's committee.,1,0
189,Progressive Takeover and not authorized by any candidate or candidate's committee.,1,0
190,National Education Association,1,0
191,Republicans for Biden,0,497
192,Moms Demand Action - IL,0,5000
193,Generation Progress Action,0,9000
194,Nuestra Florida,0,401745
195,Bring Florida Home PAC,1,0
196,Everytown for Gun Safety Support Fund,1,0
197,I Voted Early,0,50
198,Progressive Turnout Project not authorized by any candidate or candidate's committee,1,0
199,Hawkeye Values,0,548692
200,Montana True,0,609629
201,Maine Together,0,546198
202,Be a Hero Action Fund,1,0
203,"PACRONYM, PACRONYM.org. Not authorized by any candidate or candidate’s committee.",1,0
204,314 Action Fund,1,0
205,NextGen Maine,0,943
206,Everytown for Gun Safety Action Fund; not authorized by any candidate or candidate’s committee.,1,0
207,314 Action.,1,0
208,SMP,1,0
209,Facts First,0,3352067
210,One North Carolina,0,2202640
211,Priorities USA Action. 202-455-8428. Not authorized by any candidate or candidate's committee.,1,0
212,Show Up To Vote,0,1271659
213,Pennsylvania Votes,0,41490
214,Minnesota Votes,0,112523
215,Hablemos Claro USA,0,514242
216,Be A Hero,0,1879115
217,MAJORITY FORWARD,1,0
218,NEA Today,0,2245082
219,America Votes 2020,0,50
220,"LEAGUE OF CONSERVATION VOTERS, INC",1,0
221,Shady Schweikert,0,54810
222,League of Conservation Voters and Priorities USA,1,0
223,NextGen Arizona,0,3712
224,House Majority PAC. Not authorized by any candidate or candidate's committee.,1,0
225,I Voted to Defeat Trump,0,153
226,Moms Demand Action - MO,0,8000
227,The FYI,0,529651
228,Defend the Senate,0,1013129
229,PROGRESSIVE TAKEOVER,1,0
230,The Lincoln Project,1,7332216
231,Speak Up For Education and Kids,0,1205796
232,Keep Them Accountable,0,1976895
233,Florida Votes 2020,0,764
234,Tenney Age Tax Facts,0,100
235,NextGen North Carolina,0,823
236,Priorities Michigan,0,3456
237,99 Counties,0,37800
238,Florida Votes for Biden,0,155123
239,MoveOn,0,7767102
240,Pero Like,0,56614
241,Everytown for Lucy McBath,0,210288
242,Our Big Sky Country,0,193122
243,CAP Action,0,2107313
244,Meet Tim Pawlenty,0,106317
245,Democratic Polling Center,0,702160
246,End Citizens United and Let America Vote Action Fund,1,0
247,Minnesota Votes Trump Out,0,114810
248,NextGen Florida,0,2148
249,314 ACTION FUND,1,0
250,BuzzFeed,0,574369
251,House Majority PAC,1,4714871
252,America Votes Trump Out,0,1546435
253,Minnesota Votes For Biden,0,16975
254,The Collective PAC; not authorized by any candidate or any candidate's committee.,1,0
255,Paid for by BlackPAC and not authorized by any candidate or candidate’s committee.,1,0
256,Montana Women Vote,0,78467
257,I Voted By Mail,0,1395
258,Republicans Fighting Tariffs,0,11134
259,Moms Demand Action - MN,0,10496
260,314 Action,1,2254492
