Id,Label,isDisclaimer,Amount Spent
188,Bernie Sanders,0,13609525
189,Team Biden Harris 2020,0,299086
190,Captain Mark Kelly,0,8584556
191,Cal Cunningham,0,1329424
192,Cory for New Hampshire,0,2870
193,FEARLESS FOR THE PEOPLE PAC,1,0
194,Alabama for Mike,0,18933
195,We're Saying NO to Martha McSally,0,100889
196,Peters for Michigan,1,0
197,Miller-Meeks,0,111482
198,Wildest Montana,0,49252
199,Andrew Yang,1,2414254
200,Corrupt Chip Roy: Extended Warranty,0,8662
201,Need To Impeach,0,375992
202,Troy Nehls is Notorious,0,28091
203,GQ,0,104933
204,the Elizabeth Warren Presidential Exploratory Committee,1,0
205,Nancy Pelosi for Congress,1,0
206,Chip Roy Puts Texas Families at Risk,0,9967
207,Dangerous McCormick,0,67053
208,Wisconsin for Biden,0,10507
209,Democratic Party of Wisconsin,1,2479491
210,MA for Mike,0,78425
211,Tasty,0,79816
212,Richard Ojeda,0,85357
213,ALEXANDRIA OCASIO-CORTEZ FOR CONGRESS,1,0
214,Nancy Pelosi Elects Democrats,0,1922116
215,Team Biden,0,298873
216,"WARREN FOR PRESIDENT, INC.",1,0
217,Ilhan for Congress,1,0
218,California Priorities,0,45769
219,Outside Look,0,137065
220,ILHAN FOR CONGRESS,1,0
221,John K. Delaney,0,238275
222,Joe Biden for Wisconsin,0,38931
223,Jaime Harrison for U.S. Senate,1,0
224,FL for Mike,0,109959
225,Gillibrand 2020,1,0
226,Adam Schiff,0,2599724
227,No podemos seguir tolerando al corrupto de Carlos Giménez,0,24164
228,Vote Blue 2020,0,299965
229,Priorities for the People,0,64353
230,California for Tom 2020,0,28620
231,Orlando Acosta,0,7577
232,"American Possibilities, not authorized by any candidate or candidate’s committee",1,0
233,John W. Hickenlooper,1,2918179
234,Democrats,0,2870987
235,Jay Inslee,0,958468
236,PopSugar,0,39118
237,BIDEN FOR PRESIDENT,1,0
238,Florida Can’t Afford Corrupt Carlos Giménez,0,42221
239,Joe Biden for President,0,301654
240,AZ for Mike,0,66680
241,WARNOCK FOR GEORGIA,1,0
242,JAIME HARRISON FOR US SENATE,1,0
243,New Mexico Priorities,0,35014
244,"PETE FOR AMERICA, INC.",1,0
245,"AMY MCGRATH FOR SENATE, INC.",1,0
246,Gary Peters,0,2368494
247,Marianne Williamson,0,1166898
248,Alexandria Ocasio-Cortez,0,7371789
249,Val Demings,0,4118246
250,Stephanie Bice Won’t Work For Us,0,37125
251,Illinois for Mike Bloomberg,0,4257
252,Joe Biden for President 2020,0,297889
253,Biden for President 2020,0,296765
254,South Carolina Signal,0,566525
255,Southern Priorities,0,67785
256,Pero Like,0,56614
257,BERNIE 2020,1,0
258,"WARREN DEMOCRATS, INC.",1,0
259,Paris to Pittsburgh,0,19168
260,Tom Steyer,1,26825241
261,Biden for President,1,0
262,Bernie 2020.,1,0
263,Malliotakis: No te dejes engañar,0,5062
264,BuzzFeed,0,574369
265,VAL DEMINGS FOR CONGRESS,1,0
266,Committee to Elect Richard Ojeda,1,0
267,Ilhan Omar,0,610264
268,TULSI NOW,1,0
269,North Carolina - Register to Vote by October 9,0,32361
270,El Sheriff Troy Nehls no respeta la ley ni las familias de Texas,0,7325
271,Democratic Party of Wisconsin Environmental Caucus -Unofficial,0,600
272,Bennet for America,1,0
273,BETO FOR AMERICA,1,0
274,Michelle Obama,0,589838
275,PA for Mike,0,3550
276,Vote From Home California,0,18852
277,Amy McGrath for Senate,1,0
278,Hickenlooper for Colorado,1,0
279,Seth Moulton,0,318589
280,Independence USA PAC,1,0
281,Alexandria Ocasio-Cortez for Congress,1,0
282,"Hell No, Don Bacon",0,35758
283,The Roundup,0,221908
284,April McClain-Delaney,0,2534
285,Off the Sidelines,1,0
286,Pete Buttigieg,0,8765385
287,Kamala Harris For The People,1,50
288,City of Miramar,1,4289
289,Mayor Wayne M Messam,0,3315
290,Swalwell for America,1,0
291,"the Democratic National Committee, www.democrats.org. Not authorized by any candidate or candidate’s committee.",1,0
292,Tom Steyer 2020,1,0
293,"RASHIDA TLAIB FOR CONGRESS  |  P.O. BOX 32777, DETROIT, MI 48232",1,0
294,Florida House Victory,0,81860
295,Mark Kelly for Senate,1,0
296,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,1,0
297,"Tim Ryan for America, Inc.",1,0
298,Reverend Raphael Warnock,0,5384995
299,Sara Gideon for Maine,1,0
300,JB Pritzker,0,3740642
301,Amy for America,1,0
302,WI for Mike,0,24629
303,Truth About Bacon,0,9669
304,Dan Bishop for Drug Companies,0,4809
305,Team Biden 2020,0,298875
306,Deval Patrick,0,20057
307,Rashida Tlaib,0,278278
308,ID for Mike,0,3383
309,Democratic Party,0,13161131
310,DCCC,1,0
311,BIDEN VICTORY FUND,1,0
312,Bennet for Colorado,1,0
313,DEMOCRATIC PARTY OF WISCONSIN,1,0
314,Joe Biden for WI,0,14179
315,Michael R. Bloomberg,1,0
316,Elizabeth for MA,1,0
317,"David Valadao, títere de Trump",0,14685
318,Juliana Stratton,0,24842
319,VOTO LATINO INC.,1,0
320,the Campaign for Tobacco-Free Kids,1,0
321,THE COMMITTEE TO ELECT AYANNA PRESSLEY,1,0
322,VA for Mike,0,100344
323,Montanans for Bullock,1,0
324,MONTANANS FOR BULLOCK,1,0
325,TIM RYAN FOR OHIO,1,0
326,KLOBUCHAR FOR MINNESOTA,1,0
327,Daines Out for Himself,0,304524
328,2020 Priorities,0,703140
329,Ilhan Omar for Congress,1,0
330,Tulsi for Hawai'i,1,0
331,Steve Bullock,0,1849417
332,Nevada - October 15th Election Deadline,0,6883
333,Andrew Frawley,1,0
334,Beto for Texas,1,0
335,Biden for America 2020,0,298650
336,UT for Mike,0,59003
337,SWALWELL FOR CONGRESS,1,0
338,Tim Ryan for Congress,1,0
339,Bice Has Failed Us,0,9349
340,HICKENLOOPER FOR COLORADO,1,0
341,Adam Schiff for Congress,1,0
342,AMY FOR AMERICA,1,0
343,the National Democratic Training Committee,1,0
344,Party Line Shedd,0,39243
345,MOULTON FOR CONGRESS,1,0
346,Jon Ossoff For Senate,1,0
347,Joe Biden: Build Back Better,0,301996
348,We Can’t Trust Nancy Mace,0,72470
349,MARK KELLY FOR SENATE,1,0
350,El Verdadero Récord de Mike Garcia,0,13738
351,Warren for President,1,0
352,New York for Mike,0,67423
353,Joni Ernst Isn’t On Our Side,0,269023
354,PAC to the Future,1,0
355,Mike Bloomberg,1,64063979
